,Rede1,Rede2,Confirmação rede 1,Confirmação rede 2,Resultado
2041,nan,Mangueira,,P,Árvore de outra espécie
2042,nan,Mangueira,,N,Árvore de outra espécie
2043,Folhas arredondadas,Mangueira,P,P,Árvore de outra espécie
2044,Folhas arredondadas,Amendoeira,Y,Y,Amendoeira
2045,nan,nan,,,Nenhuma identificação realizada
2046,nan,nan,,,Nenhuma identificação realizada
2047,nan,Poste,,PC,Nenhuma identificação realizada
2048,nan,Mangueira,,Y,Árvore de outra espécie
2049,Palmeira,Palmeira,Y,Y,Palmeira
2050,nan,Palmeira,,N,Palmeira
2051,nan,Palmeira,,PM,Palmeira
2052,nan,nan,,,Nenhuma identificação realizada
2053,nan,Mangueira,,N,Árvore de outra espécie
2054,nan,Amendoeira,,P,Árvore de outra espécie
2055,nan,Amendoeira,,P,Árvore de outra espécie
2056,nan,Mangueira,,N,Árvore de outra espécie
2057,nan,nan,,,Nenhuma identificação realizada
2058,nan,Mangueira,,N,Árvore de outra espécie
2059,Postes,Poste,PC,PC,Nenhuma identificação realizada
2060,nan,Poste,,PC,Nenhuma identificação realizada
2061,nan,Mangueira,,N,Árvore de outra espécie
2062,nan,nan,,,Nenhuma identificação realizada
2063,nan,Cajueiro,,P,Árvore de outra espécie
2064,nan,Poste,,PC,Nenhuma identificação realizada
2065,nan,Palmeira,,PM,Palmeira
2066,nan,Poste,,PC,Nenhuma identificação realizada
2067,nan,Amendoeira,,P,Árvore de outra espécie
2068,nan,nan,,,Nenhuma identificação realizada
2069,nan,Palmeira,,Y,Palmeira
2070,nan,Amendoeira,,P,Árvore de outra espécie
2071,nan,Poste,,PC,Nenhuma identificação realizada
2072,nan,nan,,,Nenhuma identificação realizada
2073,nan,nan,,,Nenhuma identificação realizada
2074,nan,Poste,,PC,Nenhuma identificação realizada
2075,nan,nan,,,Nenhuma identificação realizada
2076,nan,Mangueira,,N,Árvore de outra espécie
2077,Postes,Palmeira,PC,N,Nenhuma identificação realizada
2078,nan,Amendoeira,,N,Árvore de outra espécie
2079,nan,Poste,,PC,Nenhuma identificação realizada
2080,nan,nan,,,Nenhuma identificação realizada
2081,Folhas arredondadas,Palmeira,P,Y,Nenhuma identificação realizada
2082,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
2083,nan,nan,,,Nenhuma identificação realizada
2084,Folhas arredondadas,Palmeira,P,Y,Nenhuma identificação realizada
2085,nan,Poste,,PC,Nenhuma identificação realizada
2086,nan,Mangueira,,N,Árvore de outra espécie
2087,Postes,Amendoeira,PC,P,Amendoeira
2088,nan,Mangueira,,N,Árvore de outra espécie
2089,nan,Poste,,PC,Nenhuma identificação realizada
2090,nan,Palmeira,,N,Palmeira
2091,Palmeira,Palmeira,Y,Y,Palmeira
2092,Postes,Palmeira,PC,Y,Nenhuma identificação realizada
2093,nan,nan,,,Nenhuma identificação realizada
2094,nan,Mangueira,,N,Árvore de outra espécie
2095,nan,Palmeira,,N,Palmeira
2096,nan,Poste,,PC,Nenhuma identificação realizada
2097,nan,Mangueira,,P,Árvore de outra espécie
2098,nan,Palmeira,,Y,Palmeira
2099,nan,nan,,,Nenhuma identificação realizada
2100,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
2101,nan,Poste,,PC,Nenhuma identificação realizada
